#  Computed using PBH limits in DarkSUSY 5.1.2
#  by adding the following code snippets to
#  test/dstest-ucmh.h, along with relevant
#  declarations.
#
#      call dspbh_init
#      do i = 0, 5263
#        k = 10.d0**(2.d0 + dble(i)/2000.d0*8.d0)
#        betashare = dspbh_limits(k)
#        log10PR = zeroin(0.d0, -10.d0, diff_PR, 1.d-5)
#        write(*,*) k, log10PR
#      enddo
#
#      double precision function diff_PR(logP)
#      implicit none
#      double precision, intent(IN) :: logP
#      double precision :: betashare, dsucmh_beta_generalised
#      common /adhoc/betashare
#      diff_PR =       dsucmh_beta_generalised(logP,1.d0/3.d0,5.d0) - betashare
#      end function diff_PR
#
#  Pat Scott Nov 3 2015
#
#  k (Mpc^-1)               log10(P_R max)
   862.97854776697022       -2.6178930307608965
   870.96358995608057       -2.6178931382848871
   879.02251683088423       -2.6178932458088542
   887.15601203796086       -2.6180506795331615
   895.36476554959370       -2.6182926243124043
   903.64947372230142       -2.6185344516112399
   912.01083935590964       -2.6187761634493092
   920.44957175317120       -2.6190177619811399
   928.96638677993633       -2.6190752511925695
   937.56200692588015       -2.6190753584651558
   946.23716136579299       -2.6191524594988560
   954.99258602143595       -2.6193938861366637
   963.82902362397056       -2.6196352055783581
   972.74722377696503       -2.6198764204369138
   981.74794301998440       -2.6201175334427664
   990.83194489276752       -2.6202547299613199
   1000.0000000000000       -2.6202548370077645
   1009.2528860766844       -2.6202549440541905
   1018.5913880541169       -2.6204929253946050
   1028.0162981264734       -2.6207337910488748
   1037.5284158180127       -2.6208387369860127
   1047.1285480508996       -2.6208388439307386
   1056.8175092136585       -2.6208630883339983
   1066.5961212302579       -2.6211038131168953
   1076.4652136298350       -2.6213444515265829
   1086.4256236170656       -2.6215850068022695
   1096.4781961431852       -2.6218254822201019
   1106.6237839776663       -2.6220148661331342
   1116.8632477805611       -2.6220149728998359
   1127.1974561755105       -2.6220150796665234
   1137.6272858234311       -2.6221994548535639
   1148.1536214968828       -2.6224390627314462
   1158.7773561551262       -2.6226785415245817
   1169.4993910198712       -2.6229178914656242
   1180.3206356517298       -2.6231571127952331
   1191.2420080273751       -2.6231856635540329
   1202.2644346174131       -2.6231857697719581
   1213.3888504649774       -2.6232904770857730
   1224.6161992650489       -2.6235294985725108
   1235.9474334445108       -2.6237683921001795
   1247.3835142429432       -2.6240071579380171
   1258.9254117941675       -2.6242457963628865
   1270.5741052085418       -2.6243532758629748
   1282.3305826560218       -2.6243533818036449
   1294.1958414499863       -2.6243788360857692
   1306.1708881318418       -2.6246172766045546
   1318.2567385564075       -2.6248550837374003
   1330.4544179780914       -2.6249355741670701
   1342.7649611378642       -2.6249356799442261
   1355.1894123510351       -2.6249879102820541
   1367.7288255958495       -2.6252259657190353
   1380.3842646028838       -2.6254638907668100
   1393.1568029453035       -2.6257016856848856
   1406.0475241299130       -2.6259393507600022
   1419.0575216890927       -2.6260983066461407
   1432.1878992735424       -2.6260984121409132
   1445.4397707459279       -2.6260985176356595
   1458.8142602753474       -2.6263093100240598
   1472.3125024327194       -2.6265466444838226
   1485.9356422870060       -2.6267838503310497
   1499.6848355023740       -2.6270209279649799
   1513.5612484362073       -2.6272578778046323
   1527.5660582380733       -2.6272580549085878
   1541.7004529495584       -2.6272581601245735
   1555.9656316050750       -2.6273899756492258
   1570.3628043335516       -2.6276267272949267
   1584.8931924611140       -2.6278633522898418
   1599.5580286146678       -2.6280998511009659
   1614.3585568264868       -2.6283362242014827
   1629.2960326397215       -2.6284146543045184
   1644.3717232149324       -2.6284147592463984
   1659.5869074375596       -2.6284680013038115
   1674.9428760264382       -2.6287041795293917
   1690.4409316432632       -2.6289402332583918
   1706.0823890031243       -2.6289919866850764
   1721.8685749860060       -2.6289920914917468
   1737.8008287493763       -2.6290718327630125
   1753.8805018417602       -2.6293076934859672
   1770.1089583174221       -2.6295434308840200
   1786.4875748520499       -2.6297790453911225
   1803.0177408595698       -2.6300145374227357
   1819.7008586099826       -2.6301441214364600
   1836.5383433483473       -2.6301442259763372
   1853.5316234148106       -2.6301458245055835
   1870.6821403658016       -2.6303811265299992
   1887.9913490962927       -2.6306163070377955
   1905.4607179632483       -2.6308513663566870
   1923.0917289101576       -2.6310863047848438
   1940.8858775927793       -2.6312933420639943
   1958.8446735059890       -2.6312934463409450
   1976.9696401118620       -2.6312935506178721
   1995.2623149688789       -2.6314520343838703
